id,wine,winery,rating_average,rating_reviews,location_nation,location_region,image,category
32,"Romanée-Saint-Vivant Grand Cru (Marey-Monge) 2015","Domaine de La Romanée-Conti",4.9,33 ratings,"France","Romanée-Saint-Vivant Grand Cru",https://images.vivino.com/thumbs/qbolgWCtRq-z3tt-HeXRrA_pb_x300.png,reds
33,"Cabernet Sauvignon Proprietor Grown 2002","Bryant Family Vineyard",4.9,33 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/JL0BHEkRTxqJUuW9QfABtA_pb_x300.png,reds
34,"Duck Muck 2007","Wild Duck Creek Estate",4.9,32 ratings,"Australia","Heathcote",https://images.vivino.com/thumbs/eEQ95eipT4aZ6Cp2gM4xrw_pb_x300.png,reds
35,"Beckstoffer Dr. Crane Vineyard 2012","Realm",4.9,32 ratings,"United States","St. Helena",https://images.vivino.com/thumbs/_IiGnDHSSaOc9u9c9CzVSA_pb_x300.png,reds
36,"La Fabriseria Amarone della Valpolicella Classico 2003","Tedeschi",4.9,32 ratings,"Italy","Amarone della Valpolicella Classico",https://images.vivino.com/thumbs/XtWBhvg9QACn8ElIr-NTQw_pb_x300.png,reds
37,"Romanée-Saint-Vivant Grand Cru (Marey-Monge) 1983","Domaine de La Romanée-Conti",4.9,31 ratings,"France","Romanée-Saint-Vivant Grand Cru",https://images.vivino.com/thumbs/qbolgWCtRq-z3tt-HeXRrA_pb_x300.png,reds
38,"Échezeaux Grand Cru 1986","Domaine de La Romanée-Conti",4.9,30 ratings,"France","Échezeaux Grand Cru",https://images.vivino.com/thumbs/4acI_FD8QriZh2Fx_iv_oA_pb_x300.png,reds
39,"Barolo Lazzarito 2000","Vietti",4.9,30 ratings,"Italy","Barolo",https://images.vivino.com/thumbs/g7lah3ezSX6UESUe2lgiaw_pb_x300.png,reds
40,"Henley Shiraz 2004","Geoff Merrill",4.9,30 ratings,"Australia","McLaren Vale",https://images.vivino.com/thumbs/28jJ6dlgSGSAmFGJE0PqTQ_pb_x300.png,reds
41,"Napa Valley Cabernet Sauvignon 2008","Robert Foley Vineyards",4.9,30 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/WICpb7AnQnWZgDsrjpRfhg_pb_x300.png,reds
42,"Cabernet Sauvignon Beckstoffer To Kalon Vineyard 2012","Schrader",4.9,29 ratings,"United States","Oakville",https://images.vivino.com/thumbs/k3c1IEAGSiqZ7wKSwQe26w_pb_x300.png,reds
43,"Thorevilos Cabernet Sauvignon 2010","Abreu",4.9,29 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/qjWbEuWWTBqEgUUa7qbz4w_pb_x300.png,reds
